serial,production_date,shipment_part_serial
10418D1506112248,2015年/第6週,BC4DFB65CB00
10418D1506190767,2015年/第6週,BC4DFB65E450
10418D1506112260,2015年/第6週,BC4DFB65DAD0
10418D1506190762,2015年/第6週,BC4DFB65E310
10418D1506112249,2015年/第6週,BC4DFB65DB00
10418D1506190789,2015年/第6週,BC4DFB65E2E0
10418D1506190756,2015年/第6週,BC4DFB65E2D0
10418D1506190783,2015年/第6週,BC4DFB65E440
10418D1506113408,2015年/第6週,BC4DFB65F7F0
10418D1506113390,2015年/第6週,BC4DFB661050
10418D1506186641,2015年/第6週,BC4DFB661710
10418D1506113410,2015年/第6週,BC4DFB660780
10418D1506190824,2015年/第6週,BC4DFB662800
10418D1506120641,2015年/第6週,BC4DFB662470
10418D1506190611,2015年/第6週,BC4DFB665300
10418D1506112251,2015年/第6週,BC4DFB667400
10418D1506113387,2015年/第6週,BC4DFB66A3C0
10418D1506113402,2015年/第6週,BC4DFB66A3A0
10418D1506120630,2015年/第6週,BC4DFB667C60
10418D1506113411,2015年/第6週,BC4DFB664D20
10418D1506112266,2015年/第6週,BC4DFB667370
10418D1506120633,2015年/第6週,BC4DFB667380
10418D1506112252,2015年/第6週,BC4DFB6671B0
10418D1506113398,2015年/第6週,BC4DFB667530
10418D1506120625,2015年/第6週,BC4DFB667230
10418D1506112258,2015年/第6週,BC4DFB667220
10418D1506112254,2015年/第6週,BC4DFB668540
10418D1506186639,2015年/第6週,BC4DFB66C8C0
10418D1506112259,2015年/第6週,BC4DFB668380
10418D1506186650,2015年/第6週,BC4DFB669670
10418D1506190618,2015年/第6週,BC4DFB6696E0
10418D1506113414,2015年/第6週,BC4DFB66A240
10418D1506190610,2015年/第6週,BC4DFB669CC0
10418D1506190613,2015年/第6週,BC4DFB66E300
10418D1506190609,2015年/第6週,BC4DFB66D0F0
10418D1506190608,2015年/第6週,BC4DFB66DD20
10418D1506190612,2015年/第6週,BC4DFB66D440
10418D1506190617,2015年/第6週,BC4DFB66D1E0
10418D1506190614,2015年/第6週,BC4DFB66F5C0
10418D1506186637,2015年/第6週,BC4DFB66E510
10418D1506186651,2015年/第6週,BC4DFB675810
10418D1506190616,2015年/第6週,BC4DFB66EA30
10418D1506190620,2015年/第6週,BC4DFB66EF70
10418D1506190607,2015年/第6週,BC4DFB66EFE0
10418D1506186648,2015年/第6週,BC4DFB675AA0
10418D1506190827,2015年/第6週,BC4DFB6759B0
10418D1506186653,2015年/第6週,BC4DFB675360
10418D1506186647,2015年/第6週,BC4DFB6753D0
10418D1506190818,2015年/第6週,BC4DFB676030
10418D1506190619,2015年/第6週,BC4DFB6763C0
10418D1506186725,2015年/第6週,BC4DFB675A40
10418D1506190821,2015年/第6週,BC4DFB675A00
10418D1506190810,2015年/第6週,BC4DFB676050
10418D1506186724,2015年/第6週,BC4DFB675930
10418D1506190793,2015年/第6週,BC4DFB676F60
10418D1506190768,2015年/第6週,BC4DFB676F30
10418D1506113400,2015年/第6週,BC4DFB675730
10418D1506186654,2015年/第6週,BC4DFB675AE0
10418D1506186635,2015年/第6週,BC4DFB676490
10418D1506190816,2015年/第6週,BC4DFB6777D0
10418D1506190606,2015年/第6週,BC4DFB6768F0
10418D1506190820,2015年/第6週,BC4DFB676EB0
10418D1506186652,2015年/第6週,BC4DFB6753A0
10418D1506113415,2015年/第6週,BC4DFB676A80
10418D1506186643,2015年/第6週,BC4DFB6753C0
10418D1506190770,2015年/第6週,BC4DFB674910
10418D1506186719,2015年/第6週,BC4DFB6775C0
10418D1506190823,2015年/第6週,BC4DFB677610
10418D1506190760,2015年/第6週,BC4DFB674A40
10418D1506190765,2015年/第6週,BC4DFB6749A0
